TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Master Plan @Need_Own_Computer,1,1,accrist (956658),,every week,en,America/Denver
,,,,,,,,
task,Plan nights with days,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
